%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1737472022464620800,0,1737472022464620800,map,-0.008246093248919424,0.0028672803912228816,0.0,0.0,0.0,0.0024632518345949054,0.9999969661905977
1737472022474827300,1,1737472022474827300,map,-0.008246093248919424,0.0028672803912228816,0.0,0.0,0.0,0.0024632518345949054,0.9999969661905977
1737472022485211700,2,1737472022485211700,map,-0.008246093248919424,0.0028672803912228816,0.0,0.0,0.0,0.0024632518345949054,0.9999969661905977
1737472022495521400,3,1737472022495521400,map,-0.008246093248919424,0.0028672803912228816,0.0,0.0,0.0,0.0024632518345949054,0.9999969661905977
1737472022505747900,4,1737472022505747900,map,-0.008246093248919424,0.0028672803912228816,0.0,0.0,0.0,0.0024632518345949054,0.9999969661905977
1737472022515977600,5,1737472022515977600,map,-0.008246093248919424,0.0028672803912228816,0.0,0.0,0.0,0.0024632518345949054,0.9999969661905977
1737472022526535800,6,1737472022526535800,map,-0.008246093248919424,0.0028672803912228816,0.0,0.0,0.0,0.0024632518345949054,0.9999969661905977
1737472022536720100,7,1737472022536720100,map,-0.008246093248919424,0.0028672803912228816,0.0,0.0,0.0,0.0024632518345949054,0.9999969661905977
1737472022547260100,8,1737472022547260100,map,-0.008246093248919424,0.0028672803912228816,0.0,0.0,0.0,0.0024632518345949054,0.9999969661905977
1737472022557444000,9,1737472022557444000,map,-0.008246093248919424,0.0028672803912228816,0.0,0.0,0.0,0.0024632518345949054,0.9999969661905977
1737472022567666000,10,1737472022567666000,map,-0.014228813497976132,0.004348238130549927,0.0,0.0,0.0,0.0076322275346487785,0.9999708741272715
1737472022577758400,11,1737472022577758400,map,-0.014228813497976132,0.004348238130549927,0.0,0.0,0.0,0.0076322275346487785,0.9999708741272715
1737472022588079300,12,1737472022588079300,map,-0.014228813497976132,0.004348238130549927,0.0,0.0,0.0,0.0076322275346487785,0.9999708741272715
1737472022598767500,13,1737472022598767500,map,-0.014228813497976132,0.004348238130549927,0.0,0.0,0.0,0.0076322275346487785,0.9999708741272715
1737472022609242500,14,1737472022609242500,map,-0.014228813497976132,0.004348238130549927,0.0,0.0,0.0,0.0076322275346487785,0.9999708741272715
1737472022619701000,15,1737472022619701000,map,-0.014228813497976132,0.004348238130549927,0.0,0.0,0.0,0.0076322275346487785,0.9999708741272715
1737472022630066600,16,1737472022630066600,map,-0.014228813497976132,0.004348238130549927,0.0,0.0,0.0,0.0076322275346487785,0.9999708741272715
1737472022640263100,17,1737472022640263100,map,-0.014228813497976132,0.004348238130549927,0.0,0.0,0.0,0.0076322275346487785,0.9999708741272715
1737472022650868300,18,1737472022650868300,map,-0.014228813497976132,0.004348238130549927,0.0,0.0,0.0,0.0076322275346487785,0.9999708741272715
1737472022661050100,19,1737472022661050100,map,-0.014228813497976132,0.004348238130549927,0.0,0.0,0.0,0.0076322275346487785,0.9999708741272715
1737472022671251200,20,1737472022671251200,map,-0.015367718656248475,0.0029407019378526644,0.0,0.0,0.0,0.006210453397651291,0.9999807149483413
1737472022681753500,21,1737472022681753500,map,-0.015367718656248475,0.0029407019378526644,0.0,0.0,0.0,0.006210453397651291,0.9999807149483413
1737472022692137200,22,1737472022692137200,map,-0.015367718656248475,0.0029407019378526644,0.0,0.0,0.0,0.006210453397651291,0.9999807149483413
1737472022702852300,23,1737472022702852300,map,-0.015367718656248475,0.0029407019378526644,0.0,0.0,0.0,0.006210453397651291,0.9999807149483413
1737472022713235500,24,1737472022713235500,map,-0.015367718656248475,0.0029407019378526644,0.0,0.0,0.0,0.006210453397651291,0.9999807149483413
1737472022723630200,25,1737472022723630200,map,-0.015367718656248475,0.0029407019378526644,0.0,0.0,0.0,0.006210453397651291,0.9999807149483413
1737472022734162700,26,1737472022734162700,map,-0.015367718656248475,0.0029407019378526644,0.0,0.0,0.0,0.006210453397651291,0.9999807149483413
1737472022744797600,27,1737472022744797600,map,-0.015367718656248475,0.0029407019378526644,0.0,0.0,0.0,0.006210453397651291,0.9999807149483413
1737472022755173300,28,1737472022755173300,map,-0.015367718656248475,0.0029407019378526644,0.0,0.0,0.0,0.006210453397651291,0.9999807149483413
1737472022765497900,29,1737472022765497900,map,-0.019856448739241424,0.0025557234302815675,0.0,0.0,0.0,0.00808141156409713,0.9999673448603869
1737472022775576800,30,1737472022775576800,map,-0.019856448739241424,0.0025557234302815675,0.0,0.0,0.0,0.00808141156409713,0.9999673448603869
1737472022786004000,31,1737472022786004000,map,-0.019856448739241424,0.0025557234302815675,0.0,0.0,0.0,0.00808141156409713,0.9999673448603869
1737472022796274300,32,1737472022796274300,map,-0.019856448739241424,0.0025557234302815675,0.0,0.0,0.0,0.00808141156409713,0.9999673448603869
1737472022806923100,33,1737472022806923100,map,-0.019856448739241424,0.0025557234302815675,0.0,0.0,0.0,0.00808141156409713,0.9999673448603869
1737472022817306900,34,1737472022817306900,map,-0.019856448739241424,0.0025557234302815675,0.0,0.0,0.0,0.00808141156409713,0.9999673448603869
1737472022827691000,35,1737472022827691000,map,-0.019856448739241424,0.0025557234302815675,0.0,0.0,0.0,0.00808141156409713,0.9999673448603869
1737472022838691700,36,1737472022838691700,map,-0.019856448739241424,0.0025557234302815675,0.0,0.0,0.0,0.00808141156409713,0.9999673448603869
1737472022849401100,37,1737472022849401100,map,-0.019856448739241424,0.0025557234302815675,0.0,0.0,0.0,0.00808141156409713,0.9999673448603869
1737472022859581200,38,1737472022859581200,map,-0.019856448739241424,0.0025557234302815675,0.0,0.0,0.0,0.00808141156409713,0.9999673448603869
1737472022869716600,39,1737472022869716600,map,-0.021573267503100308,0.003836515191705681,0.0,0.0,0.0,0.009459093713105934,0.9999552617723089
1737472022879883200,40,1737472022879883200,map,-0.021573267503100308,0.003836515191705681,0.0,0.0,0.0,0.009459093713105934,0.9999552617723089
1737472022890411000,41,1737472022890411000,map,-0.021573267503100308,0.003836515191705681,0.0,0.0,0.0,0.009459093713105934,0.9999552617723089
1737472022901118300,42,1737472022901118300,map,-0.021573267503100308,0.003836515191705681,0.0,0.0,0.0,0.009459093713105934,0.9999552617723089
1737472022911506300,43,1737472022911506300,map,-0.021573267503100308,0.003836515191705681,0.0,0.0,0.0,0.009459093713105934,0.9999552617723089
1737472022921591200,44,1737472022921591200,map,-0.021573267503100308,0.003836515191705681,0.0,0.0,0.0,0.009459093713105934,0.9999552617723089
1737472022932284000,45,1737472022932284000,map,-0.021573267503100308,0.003836515191705681,0.0,0.0,0.0,0.009459093713105934,0.9999552617723089
1737472022942515400,46,1737472022942515400,map,-0.021573267503100308,0.003836515191705681,0.0,0.0,0.0,0.009459093713105934,0.9999552617723089
1737472022952882700,47,1737472022952882700,map,-0.021573267503100308,0.003836515191705681,0.0,0.0,0.0,0.009459093713105934,0.9999552617723089
1737472022963178400,48,1737472022963178400,map,-0.021599732672738375,0.0035454758318865525,0.0,0.0,0.0,0.008214210210098893,0.999966262806213
1737472022973598700,49,1737472022973598700,map,-0.021599732672738375,0.0035454758318865525,0.0,0.0,0.0,0.008214210210098893,0.999966262806213
1737472022983807500,50,1737472022983807500,map,-0.021599732672738375,0.0035454758318865525,0.0,0.0,0.0,0.008214210210098893,0.999966262806213
1737472022994315900,51,1737472022994315900,map,-0.021599732672738375,0.0035454758318865525,0.0,0.0,0.0,0.008214210210098893,0.999966262806213
1737472023004435400,52,1737472023004435400,map,-0.021599732672738375,0.0035454758318865525,0.0,0.0,0.0,0.008214210210098893,0.999966262806213
1737472023014727600,53,1737472023014727600,map,-0.021599732672738375,0.0035454758318865525,0.0,0.0,0.0,0.008214210210098893,0.999966262806213
1737472023025107700,54,1737472023025107700,map,-0.021599732672738375,0.0035454758318865525,0.0,0.0,0.0,0.008214210210098893,0.999966262806213
1737472023035346100,55,1737472023035346100,map,-0.021599732672738375,0.0035454758318865525,0.0,0.0,0.0,0.008214210210098893,0.999966262806213
1737472023045684600,56,1737472023045684600,map,-0.021599732672738375,0.0035454758318865525,0.0,0.0,0.0,0.008214210210098893,0.999966262806213
1737472023056279100,57,1737472023056279100,map,-0.021599732672738375,0.0035454758318865525,0.0,0.0,0.0,0.008214210210098893,0.999966262806213
1737472023066518800,58,1737472023066518800,map,-0.018092772163582408,0.0028340915086257426,0.0,0.0,0.0,0.0002048696045786377,0.9999999790142223
1737472023076875100,59,1737472023076875100,map,-0.018092772163582408,0.0028340915086257426,0.0,0.0,0.0,0.0002048696045786377,0.9999999790142223
1737472023087230700,60,1737472023087230700,map,-0.018092772163582408,0.0028340915086257426,0.0,0.0,0.0,0.0002048696045786377,0.9999999790142223
1737472023098104200,61,1737472023098104200,map,-0.018092772163582408,0.0028340915086257426,0.0,0.0,0.0,0.0002048696045786377,0.9999999790142223
1737472023108588800,62,1737472023108588800,map,-0.018092772163582408,0.0028340915086257426,0.0,0.0,0.0,0.0002048696045786377,0.9999999790142223
1737472023118852200,63,1737472023118852200,map,-0.018092772163582408,0.0028340915086257426,0.0,0.0,0.0,0.0002048696045786377,0.9999999790142223
1737472023129387100,64,1737472023129387100,map,-0.018092772163582408,0.0028340915086257426,0.0,0.0,0.0,0.0002048696045786377,0.9999999790142223
1737472023139759500,65,1737472023139759500,map,-0.018092772163582408,0.0028340915086257426,0.0,0.0,0.0,0.0002048696045786377,0.9999999790142223
1737472023151845800,66,1737472023151845800,map,-0.018092772163582408,0.0028340915086257426,0.0,0.0,0.0,0.0002048696045786377,0.9999999790142223
1737472023163595700,67,1737472023163595700,map,-0.01766585159982962,0.0023484633142140296,0.0,0.0,0.0,0.0034666167641625315,0.9999939912660528
1737472023173680200,68,1737472023173680200,map,-0.01766585159982962,0.0023484633142140296,0.0,0.0,0.0,0.0034666167641625315,0.9999939912660528
1737472023183964700,69,1737472023183964700,map,-0.01766585159982962,0.0023484633142140296,0.0,0.0,0.0,0.0034666167641625315,0.9999939912660528
1737472023194578400,70,1737472023194578400,map,-0.01766585159982962,0.0023484633142140296,0.0,0.0,0.0,0.0034666167641625315,0.9999939912660528
1737472023204826500,71,1737472023204826500,map,-0.01766585159982962,0.0023484633142140296,0.0,0.0,0.0,0.0034666167641625315,0.9999939912660528
1737472023215245400,72,1737472023215245400,map,-0.01766585159982962,0.0023484633142140296,0.0,0.0,0.0,0.0034666167641625315,0.9999939912660528
1737472023225729700,73,1737472023225729700,map,-0.01766585159982962,0.0023484633142140296,0.0,0.0,0.0,0.0034666167641625315,0.9999939912660528
1737472023236141800,74,1737472023236141800,map,-0.01766585159982962,0.0023484633142140296,0.0,0.0,0.0,0.0034666167641625315,0.9999939912660528
