%time,field.data
1737472034568431394,1.0
1737472034568431394,1.0
1737472034578869686,1.0
1737472034578869686,1.0
1737472034589604116,1.0
1737472034589604116,1.0
1737472034599847732,1.0
1737472034599847732,1.0
1737472034610194800,1.0
1737472034610194800,1.0
1737472034620316799,1.0
1737472034620316799,1.0
1737472034630642819,1.0
1737472034630642819,1.0
1737472034642285060,1.0
1737472034642285060,1.0
1737472034652597835,1.0
1737472034652597835,1.0
1737472034662907114,1.0
1737472034662907114,1.0
1737472034673488590,1.0
1737472034673488590,1.0
1737472034683973313,1.0
1737472034683973313,1.0
1737472034694265671,1.0
1737472034694265671,1.0
1737472034704812382,1.0
1737472034704812382,1.0
1737472034715512527,1.0
1737472034715512527,1.0
1737472034725889482,1.0
1737472034725889482,1.0
1737472034736199131,1.0
1737472034736199131,1.0
1737472034746604287,1.0
1737472034746604287,1.0
1737472034757310375,1.0
1737472034757310375,1.0
1737472034767826599,1.0
1737472034767826599,1.0
1737472034778306921,1.0
1737472034778306921,1.0
1737472034788550762,1.0
1737472034788550762,1.0
1737472034799183903,1.0
1737472034799183903,1.0
1737472034809408343,1.0
1737472034809408343,1.0
1737472034820033239,1.0
1737472034820033239,1.0
1737472034830228646,1.0
1737472034830228646,1.0
1737472034842507644,1.0
1737472034842507644,1.0
1737472034853138883,1.0
1737472034853138883,1.0
1737472034863532899,1.0
1737472034863532899,1.0
1737472034874032902,1.0
1737472034874032902,1.0
1737472034884468576,1.0
1737472034884468576,1.0
1737472034895076972,1.0
1737472034895076972,1.0
1737472034905341405,1.0
1737472034905341405,1.0
1737472034915563181,1.0
1737472034915563181,1.0
1737472034926071150,1.0
1737472034926071150,1.0
1737472034936790881,1.0
1737472034936790881,1.0
1737472034947099709,1.0
1737472034947099709,1.0
1737472034957260100,1.0
1737472034957260100,1.0
1737472034967748722,1.0
1737472034967748722,1.0
1737472034978154550,1.0
1737472034978154550,1.0
1737472034988382868,1.0
1737472034988382868,1.0
1737472034998705279,1.0
1737472034998705279,1.0
1737472035009085178,1.0
1737472035009085178,1.0
1737472035019611733,1.0
1737472035019611733,1.0
1737472035029725014,1.0
1737472035029725014,1.0
1737472035042484138,1.0
1737472035042484138,1.0
1737472035053017976,1.0
1737472035053017976,1.0
1737472035063126530,1.0
1737472035063126530,1.0
1737472035073653693,1.0
1737472035073653693,1.0
1737472035084005492,1.0
1737472035084005492,1.0
1737472035094600102,1.0
1737472035094600102,1.0
1737472035104923936,1.0
1737472035104923936,1.0
1737472035115511543,1.0
1737472035115511543,1.0
1737472035125653571,1.0
1737472035125653571,1.0
1737472035135973593,1.0
1737472035135973593,1.0
1737472035146196942,1.0
1737472035146196942,1.0
1737472035156741789,1.0
1737472035156741789,1.0
1737472035167068803,1.0
1737472035167068803,1.0
1737472035177387829,1.0
1737472035177387829,1.0
1737472035187722271,1.0
1737472035187722271,1.0
1737472035198404797,1.0
1737472035198404797,1.0
1737472035208895424,1.0
1737472035208895424,1.0
1737472035219268036,1.0
1737472035219268036,1.0
1737472035229450972,1.0
1737472035229450972,1.0
1737472035239658347,1.0
1737472035239658347,1.0
1737472035250295590,1.0
