%time,field.data
1732437687748469770,1.0
1732437687748469770,1.0
1732437687758751029,1.0
1732437687758751029,1.0
1732437687768908015,1.0
1732437687768908015,1.0
1732437687779426452,1.0
1732437687779426452,1.0
1732437687790087463,1.0
1732437687790087463,1.0
1732437687800499009,1.0
1732437687800499009,1.0
1732437687810581844,1.0
1732437687810581844,1.0
1732437687820832550,1.0
1732437687820832550,1.0
1732437687830939489,1.0
1732437687830939489,1.0
1732437687841194303,1.0
1732437687841194303,1.0
1732437687851609086,1.0
1732437687851609086,1.0
1732437687862105860,1.0
1732437687862105860,1.0
1732437687872365764,1.0
1732437687872365764,1.0
1732437687882822764,1.0
1732437687882822764,1.0
1732437687893282260,1.0
1732437687893282260,1.0
1732437687903496288,1.0
1732437687903496288,1.0
1732437687913954401,1.0
1732437687913954401,1.0
1732437687924179301,1.0
1732437687924179301,1.0
1732437687934618899,1.0
1732437687934618899,1.0
1732437687944917855,1.0
1732437687944917855,1.0
1732437687955219085,1.0
1732437687955219085,1.0
1732437687965788221,1.0
1732437687965788221,1.0
1732437687976559931,1.0
1732437687976559931,1.0
1732437687986785391,1.0
1732437687986785391,1.0
1732437687997591181,1.0
1732437687997591181,1.0
1732437688007655981,1.0
1732437688007655981,1.0
1732437688017995894,1.0
1732437688017995894,1.0
1732437688028209040,1.0
1732437688028209040,1.0
1732437688038379719,1.0
1732437688038379719,1.0
1732437688048924804,1.0
1732437688048924804,1.0
1732437688059138742,1.0
1732437688059138742,1.0
1732437688069715856,1.0
1732437688069715856,1.0
1732437688079914782,1.0
1732437688079914782,1.0
1732437688090074052,1.0
1732437688090074052,1.0
1732437688100474558,1.0
1732437688100474558,1.0
1732437688110673625,1.0
1732437688110673625,1.0
1732437688121186123,1.0
1732437688121186123,1.0
1732437688131575274,1.0
1732437688131575274,1.0
1732437688142153884,1.0
1732437688142153884,1.0
1732437688152682317,1.0
1732437688152682317,1.0
1732437688163877582,1.0
1732437688163877582,1.0
1732437688174484201,1.0
1732437688174484201,1.0
1732437688185092503,1.0
1732437688185092503,1.0
1732437688195717687,1.0
1732437688195717687,1.0
1732437688206202109,1.0
1732437688206202109,1.0
1732437688216451684,1.0
1732437688216451684,1.0
1732437688226863871,1.0
1732437688226863871,1.0
1732437688237185530,1.0
1732437688237185530,1.0
1732437688248195991,1.0
1732437688248195991,1.0
1732437688258505687,1.0
1732437688258505687,1.0
1732437688268625030,1.0
1732437688268625030,1.0
1732437688278826906,1.0
1732437688278826906,1.0
1732437688288984790,1.0
1732437688288984790,1.0
1732437688299222632,1.0
1732437688299222632,1.0
1732437688310176248,1.0
1732437688310176248,1.0
1732437688320377282,1.0
1732437688320377282,1.0
1732437688330972991,1.0
1732437688330972991,1.0
1732437688341197258,1.0
1732437688341197258,1.0
1732437688351628511,1.0
1732437688351628511,1.0
1732437688362109746,1.0
1732437688362109746,1.0
1732437688372590036,1.0
1732437688372590036,1.0
1732437688383555106,1.0
1732437688383555106,1.0
1732437688393894137,1.0
1732437688393894137,1.0
1732437688404082359,1.0
1732437688404082359,1.0
1732437688414465512,1.0
1732437688414465512,1.0
1732437688425151167,1.0
1732437688425151167,1.0
1732437688435368252,1.0
1732437688435368252,1.0
